Order,Batsman,Dismissal,R,B,4s,6s,SR,Batting Team,Bowling Team,Match ID,M,Match No,Season,Season Match No
1,DJ Harris,st †Smith b Senanayake,1,9,0,0,11.11,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
2,AD Hales,c Lumb b Henriques,89,52,5,8,171.15,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
3,AJ Doolan,c Lumb b Feldman,5,5,1,0,100,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
4,BJ Rohrer (c),c Hughes b Hazlewood,57,37,6,1,154.05,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
5,TLW Cooper,not out,10,13,0,0,76.92,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
6,WD Sheridan,run out (†Smith/Lee),1,2,0,0,50,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
7,PM Nevill †,not out,6,2,1,0,300,Melbourne Renegades,Sydney Sixers,571261,,61,BBL02,30
1,MJ Lumb,c Doolan b Sheridan,21,14,4,0,150,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
2,NJ Maddinson,c †Nevill b Rimmington,9,8,2,0,112.5,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
3,DP Hughes,c Doolan b Sheridan,7,12,1,0,58.33,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
4,MC Henriques (c),c Rohrer b Pattinson,0,2,0,0,0,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
5,DJ Thornely,c Fawad Ahmed b O'Brien,13,15,1,0,86.66,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
6,SNJ O'Keefe,c †Nevill b Pattinson,41,29,5,1,141.37,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
7,DLR Smith †,c Sheridan b Pattinson,22,20,3,0,110,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
8,SMSM Senanayake,lbw b Rimmington,6,6,0,0,100,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
9,B Lee,c Rimmington b Sheridan,10,11,1,0,90.9,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
10,JR Hazlewood, b Rimmington,0,1,0,0,0,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
11,LW Feldman,not out,2,2,0,0,100,Sydney Sixers,Melbourne Renegades,571261,,61,BBL02,30
1,SE Marsh,c Lyon b Richardson,79,60,8,2,131.66,Perth Scorchers,Adelaide Strikers,571262,,62,BBL02,31
2,HH Gibbs, b Young,54,34,5,2,158.82,Perth Scorchers,Adelaide Strikers,571262,,62,BBL02,31
3,AC Voges,c †Ludeman b Tait,36,18,4,1,200,Perth Scorchers,Adelaide Strikers,571262,,62,BBL02,31
4,NM Coulter-Nile,not out,3,4,0,0,75,Perth Scorchers,Adelaide Strikers,571262,,62,BBL02,31
5,TIF Triffitt †, b Richardson,0,1,0,0,0,Perth Scorchers,Adelaide Strikers,571262,,62,BBL02,31
6,MJ North,not out,7,3,0,1,233.33,Perth Scorchers,Adelaide Strikers,571262,,62,BBL02,31
1,TM Head, b Behrendorff,4,5,1,0,80,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
2,M Klinger, b Beer,0,2,0,0,0,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
3,TP Ludeman †,c Katich b Coulter-Nile,11,17,0,0,64.7,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
4,CJ Ferguson,c Voges b Coulter-Nile,13,18,1,0,72.22,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
5,NJ Reardon,c & b Coulter-Nile,0,4,0,0,0,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
6,J Botha (c),c Marsh b Hogg,17,17,3,0,100,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
7,KW Richardson,c Voges b Thomas,20,17,2,0,117.64,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
8,CJ Boyce,c Beer b Thomas,7,13,0,0,53.84,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
9,NM Lyon, b Beer,2,3,0,0,66.66,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
10,BE Young,not out,9,12,0,0,75,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
11,SW Tait, b Thomas,2,3,0,0,66.66,Adelaide Strikers,Perth Scorchers,571262,,62,BBL02,31
1,TD Paine (c) †, b Christian,23,27,3,0,85.18,Hobart Hurricanes,Brisbane Heat,571263,,63,BBL02,32
2,TR Birt,c Burns b Christian,32,25,5,0,128,Hobart Hurricanes,Brisbane Heat,571263,,63,BBL02,32
3,RT Ponting,c Sabburg b Hopes,17,16,0,1,106.25,Hobart Hurricanes,Brisbane Heat,571263,,63,BBL02,32
4,OA Shah,not out,32,28,3,0,114.28,Hobart Hurricanes,Brisbane Heat,571263,,63,BBL02,32
5,JW Wells,not out,40,24,6,0,166.66,Hobart Hurricanes,Brisbane Heat,571263,,63,BBL02,32
1,LA Pomersbach, b Laughlin,82,42,13,2,195.23,Brisbane Heat,Hobart Hurricanes,571263,,63,BBL02,32
2,PJ Forrest,c Wells b Bollinger,18,11,1,2,163.63,Brisbane Heat,Hobart Hurricanes,571263,,63,BBL02,32
3,JA Burns,not out,41,27,2,3,151.85,Brisbane Heat,Hobart Hurricanes,571263,,63,BBL02,32
4,DT Christian,not out,5,5,1,0,100,Brisbane Heat,Hobart Hurricanes,571263,,63,BBL02,32
1,LA Pomersbach,not out,112,70,15,2,160,Brisbane Heat,Melbourne Renegades,571264,81,64,BBL02,33
2,PJ Forrest,c Sheridan b Pattinson,3,7,0,0,42.85,Brisbane Heat,Melbourne Renegades,571264,12,64,BBL02,33
3,JA Burns,c Cooper b Finch,33,28,3,1,117.85,Brisbane Heat,Melbourne Renegades,571264,38,64,BBL02,33
4,DT Christian,c Doolan b Muralitharan,11,7,0,1,157.14,Brisbane Heat,Melbourne Renegades,571264,14,64,BBL02,33
5,CA Lynn,not out,20,9,2,1,222.22,Brisbane Heat,Melbourne Renegades,571264,14,64,BBL02,33
1,AJ Finch (c),c Sabburg b Lynn,23,23,2,1,100,Melbourne Renegades,Brisbane Heat,571264,40,64,BBL02,33
2,AD Hales, b Cutting,20,15,3,1,133.33,Melbourne Renegades,Brisbane Heat,571264,16,64,BBL02,33
3,AJ Doolan,c Forrest b Hauritz,13,17,1,0,76.47,Melbourne Renegades,Brisbane Heat,571264,20,64,BBL02,33
4,BJ Rohrer,c Hauritz b Lynn,42,22,1,3,190.9,Melbourne Renegades,Brisbane Heat,571264,28,64,BBL02,33
5,TLW Cooper, b Cutting,14,12,0,1,116.66,Melbourne Renegades,Brisbane Heat,571264,16,64,BBL02,33
6,PM Nevill †,run out (Hauritz),18,13,1,0,138.46,Melbourne Renegades,Brisbane Heat,571264,18,64,BBL02,33
7,WD Sheridan,c Hauritz b McDermott,6,4,0,0,150,Melbourne Renegades,Brisbane Heat,571264,4,64,BBL02,33
8,NJ Rimmington, b Cutting,3,4,0,0,75,Melbourne Renegades,Brisbane Heat,571264,7,64,BBL02,33
9,AW O'Brien,not out,14,7,1,1,200,Melbourne Renegades,Brisbane Heat,571264,10,64,BBL02,33
10,DJ Pattinson,c Sabburg b McDermott,3,4,0,0,75,Melbourne Renegades,Brisbane Heat,571264,4,64,BBL02,33
11,M Muralitharan,not out,0,0,0,0,-,Melbourne Renegades,Brisbane Heat,571264,2,64,BBL02,33
1,CL White,c Gibbs b Behrendorff,88,53,9,5,166.03,Melbourne Stars,Perth Scorchers,571265,,65,BBL02,34
2,LJ Wright,c Thomas b Coulter-Nile,16,12,0,2,133.33,Melbourne Stars,Perth Scorchers,571265,,65,BBL02,34
3,BJ Hodge,not out,70,43,3,5,162.79,Melbourne Stars,Perth Scorchers,571265,,65,BBL02,34
4,RJ Quiney,not out,3,3,0,0,100,Melbourne Stars,Perth Scorchers,571265,,65,BBL02,34
1,SE Marsh,c Hodge b Faulkner,68,40,8,3,170,Perth Scorchers,Melbourne Stars,571265,,65,BBL02,34
2,HH Gibbs,retired hurt,7,5,1,0,140,Perth Scorchers,Melbourne Stars,571265,,65,BBL02,34
3,NM Coulter-Nile,c Hodge b Hastings,0,1,0,0,0,Perth Scorchers,Melbourne Stars,571265,,65,BBL02,34
4,AC Voges,not out,36,21,1,3,171.42,Perth Scorchers,Melbourne Stars,571265,,65,BBL02,34
5,MEK Hussey †,not out,21,12,1,1,175,Perth Scorchers,Melbourne Stars,571265,,65,BBL02,34
1,LA Pomersbach,c Stoinis b Behrendorff,37,38,2,1,97.36,Brisbane Heat,Perth Scorchers,571266,61,66,BBL02,35
2,PJ Forrest,c Coulter-Nile b Behrendorff,17,16,2,0,106.25,Brisbane Heat,Perth Scorchers,571266,23,66,BBL02,35
3,JA Burns,c Hogg b Beer,43,27,4,2,159.25,Brisbane Heat,Perth Scorchers,571266,46,66,BBL02,35
4,DT Christian, b Coulter-Nile,37,21,5,1,176.19,Brisbane Heat,Perth Scorchers,571266,28,66,BBL02,35
5,CA Lynn,c Coulter-Nile b Hogg,5,5,0,0,100,Brisbane Heat,Perth Scorchers,571266,4,66,BBL02,35
6,BCJ Cutting,not out,7,9,0,0,77.77,Brisbane Heat,Perth Scorchers,571266,19,66,BBL02,35
7,CD Hartley (c) †,not out,7,5,1,0,140,Brisbane Heat,Perth Scorchers,571266,5,66,BBL02,35
1,MP Stoinis,c Hauritz b Roach,1,4,0,0,25,Perth Scorchers,Brisbane Heat,571266,8,66,BBL02,35
2,SE Marsh,c Hauritz b Cutting,16,24,2,0,66.66,Perth Scorchers,Brisbane Heat,571266,31,66,BBL02,35
3,MJ North,c Forrest b Christian,24,23,1,1,104.34,Perth Scorchers,Brisbane Heat,571266,32,66,BBL02,35
4,AC Voges,c Sabburg b Roach,49,32,4,0,153.12,Perth Scorchers,Brisbane Heat,571266,47,66,BBL02,35
5,NM Coulter-Nile,c Hauritz b Lynn,16,13,0,1,123.07,Perth Scorchers,Brisbane Heat,571266,14,66,BBL02,35
6,MEK Hussey †,c Christian b McDermott,10,9,1,0,111.11,Perth Scorchers,Brisbane Heat,571266,14,66,BBL02,35
7,SM Katich (c),c Sabburg b Roach,0,2,0,0,0,Perth Scorchers,Brisbane Heat,571266,1,66,BBL02,35
8,AC Thomas,c †Hartley b Cutting,2,5,0,0,40,Perth Scorchers,Brisbane Heat,571266,7,66,BBL02,35
9,GB Hogg,c Christian b McDermott,1,3,0,0,33.33,Perth Scorchers,Brisbane Heat,571266,7,66,BBL02,35
10,JP Behrendorff,not out,2,4,0,0,50,Perth Scorchers,Brisbane Heat,571266,5,66,BBL02,35
11,MA Beer,not out,2,2,0,0,100,Perth Scorchers,Brisbane Heat,571266,2,66,BBL02,35
1,CL White (c),c Doolan b O'Brien,53,38,3,3,139.47,Melbourne Stars,Melbourne Renegades,654031,57,67,BBL03,1
2,LJ Wright,c Sheridan b Muralitharan,70,32,8,5,218.75,Melbourne Stars,Melbourne Renegades,654031,36,67,BBL03,1
3,GJ Maxwell,c Herrick b Finch,11,7,0,1,157.14,Melbourne Stars,Melbourne Renegades,654031,8,67,BBL03,1
4,BJ Hodge,c & b O'Brien,30,19,2,2,157.89,Melbourne Stars,Melbourne Renegades,654031,20,67,BBL03,1
5,DJ Hussey,not out,18,10,0,1,180,Melbourne Stars,Melbourne Renegades,654031,31,67,BBL03,1
6,MS Wade †, b Rimmington,5,6,0,0,83.33,Melbourne Stars,Melbourne Renegades,654031,5,67,BBL03,1
7,MP Stoinis,c Cooper b Sheridan,15,7,0,2,214.28,Melbourne Stars,Melbourne Renegades,654031,7,67,BBL03,1
8,JW Hastings,c Sheridan b Rimmington,0,2,0,0,0,Melbourne Stars,Melbourne Renegades,654031,3,67,BBL03,1
9,CA Rose,not out,1,1,0,0,100,Melbourne Stars,Melbourne Renegades,654031,4,67,BBL03,1
1,AJ Doolan,c †Wade b McKay,2,3,0,0,66.66,Melbourne Renegades,Melbourne Stars,654031,10,67,BBL03,1
2,AJ Finch (c),c Hussey b Wright,32,26,4,1,123.07,Melbourne Renegades,Melbourne Stars,654031,28,67,BBL03,1
3,TLW Cooper, b Bird,0,2,0,0,0,Melbourne Renegades,Melbourne Stars,654031,3,67,BBL03,1
4,BJ Rohrer,c Hussey b Bird,0,2,0,0,0,Melbourne Renegades,Melbourne Stars,654031,1,67,BBL03,1
5,JC Buttler, b Bird,49,28,5,1,175,Melbourne Renegades,Melbourne Stars,654031,37,67,BBL03,1
6,PM Nevill †,c Rose b Bird,25,14,3,0,178.57,Melbourne Renegades,Melbourne Stars,654031,23,67,BBL03,1
7,WD Sheridan,c Maxwell b Hastings,5,8,0,0,62.5,Melbourne Renegades,Melbourne Stars,654031,17,67,BBL03,1
8,NJ Rimmington,run out (Bird/†Wade),12,13,1,0,92.3,Melbourne Renegades,Melbourne Stars,654031,10,67,BBL03,1
9,AW O'Brien,not out,3,7,0,0,42.85,Melbourne Renegades,Melbourne Stars,654031,9,67,BBL03,1
10,JM Herrick,run out (Maxwell),0,0,0,0,-,Melbourne Renegades,Melbourne Stars,654031,1,67,BBL03,1
11,M Muralitharan,c Maxwell b McKay,0,2,0,0,0,Melbourne Renegades,Melbourne Stars,654031,2,67,BBL03,1
1,UT Khawaja,c †DLR Smith b Henriques,66,51,8,0,129.41,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
2,DA Warner,c Silk b Cosgrove,50,31,6,1,161.29,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
3,MEK Hussey (c),c †DLR Smith b Henriques,2,7,0,0,28.57,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
4,EJG Morgan,c Cosgrove b Bopara,4,9,0,0,44.44,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
5,CR Woakes,not out,8,9,1,0,88.88,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
6,RGL Carters †,c Bopara b Hazlewood,0,4,0,0,0,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
7,BS Dean, b Lee,3,6,0,0,50,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
8,CS Sandri,not out,9,3,0,1,300,Sydney Thunder,Sydney Sixers,654033,,68,BBL03,2
1,MJ Lumb,c Warner b Sandhu,4,6,0,0,66.66,Sydney Sixers,Sydney Thunder,654033,,68,BBL03,2
2,NJ Maddinson,c Warner b Dean,61,40,6,4,152.5,Sydney Sixers,Sydney Thunder,654033,,68,BBL03,2
3,MJ Cosgrove,c Nannes b Woakes,6,7,1,0,85.71,Sydney Sixers,Sydney Thunder,654033,,68,BBL03,2
4,SPD Smith (c),c & b Sandri,22,24,2,0,91.66,Sydney Sixers,Sydney Thunder,654033,,68,BBL03,2
5,RS Bopara,not out,27,17,3,0,158.82,Sydney Sixers,Sydney Thunder,654033,,68,BBL03,2
6,MC Henriques,not out,28,18,2,1,155.55,Sydney Sixers,Sydney Thunder,654033,,68,BBL03,2
1,M Klinger,not out,32,17,5,1,188.23,Adelaide Strikers,Hobart Hurricanes,654035,29,69,BBL03,3
2,AD Hales,run out (Gulbis/Laughlin),49,19,9,1,257.89,Adelaide Strikers,Hobart Hurricanes,654035,28,69,BBL03,3
3,PJ Hughes,not out,0,0,0,0,-,Adelaide Strikers,Hobart Hurricanes,654035,-,69,BBL03,3
1,SE Marsh,c Christian b Cutting,37,30,3,0,123.33,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
2,SM Katich (c),c Vettori b McDermott,10,12,1,0,83.33,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
3,SM Whiteman †, b McDermott,6,7,1,0,85.71,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
4,AC Voges,st †Kieswetter b Vettori,19,17,0,0,111.76,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
5,MR Marsh,not out,57,35,5,1,162.85,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
6,AC Agar,c Burns b Cutting,2,3,0,0,66.66,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
7,NM Coulter-Nile,c McDermott b Cutting,4,4,1,0,100,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
8,JP Behrendorff,c Gannon b McDermott,8,11,1,0,72.72,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
9,AC Thomas,not out,1,1,0,0,100,Perth Scorchers,Brisbane Heat,654037,,70,BBL03,4
1,LA Pomersbach, b Coulter-Nile,4,6,0,0,66.66,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
2,C Kieswetter †,c SE Marsh b Behrendorff,4,8,1,0,50,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
3,JA Burns,c SE Marsh b Coulter-Nile,8,5,2,0,160,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
4,DT Christian,st †Whiteman b Hogg,13,22,1,0,59.09,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
5,CA Lynn,c Hogg b Coulter-Nile,81,53,4,6,152.83,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
6,JR Hopes (c),lbw b Hogg,13,12,1,0,108.33,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
7,DL Vettori,st †Whiteman b Hogg,4,7,0,0,57.14,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
8,BCJ Cutting,not out,15,7,1,1,214.28,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
9,NM Hauritz,not out,0,0,0,0,-,Brisbane Heat,Perth Scorchers,654037,,70,BBL03,4
1,SE Marsh,c Doolan b Sheridan,31,34,2,0,91.17,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
2,SM Katich (c),c †Nevill b Cooper,29,19,5,0,152.63,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
3,MR Marsh, b Rimmington,16,27,0,0,59.25,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
4,SM Whiteman †,c Rohrer b Muralitharan,4,4,0,0,100,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
5,AJ Turner,c Buttler b Rimmington,14,16,1,0,87.5,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
6,TJ Armstrong,lbw b Fekete,11,15,1,0,73.33,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
7,Yasir Arafat,c Rimmington b Fekete,2,2,0,0,100,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
8,JP Behrendorff,not out,3,3,0,0,100,Perth Scorchers,Melbourne Renegades,654039,,71,BBL03,5
1,AJ Finch (c),c Hogg b Yasir Arafat,15,12,3,0,125,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
2,AJ Doolan, b Behrendorff,21,15,4,0,140,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
3,TLW Cooper,c MR Marsh b Thomas,19,27,2,0,70.37,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
4,BJ Rohrer,c Armstrong b MR Marsh,11,14,2,0,78.57,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
5,JC Buttler,c †Whiteman b MR Marsh,0,3,0,0,0,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
6,PM Nevill †,c Turner b Yasir Arafat,5,15,0,0,33.33,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
7,WD Sheridan,c SE Marsh b Yasir Arafat,12,14,0,0,85.71,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
8,NJ Rimmington,run out (Marsh/Hogg),4,7,0,0,57.14,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
9,AW O'Brien,not out,10,10,1,0,100,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
10,AL Fekete,not out,1,3,0,0,33.33,Melbourne Renegades,Perth Scorchers,654039,,71,BBL03,5
1,M Klinger, b Feldman,44,34,3,1,129.41,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
2,AD Hales,c Patterson b Feldman,16,11,3,0,145.45,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
3,PJ Hughes,c Morgan b Sandri,16,17,2,0,94.11,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
4,CJ Ferguson,c Sandri b Woakes,22,24,2,0,91.66,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
5,NJ Reardon,not out,32,21,2,1,152.38,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
6,J Botha (c),c †Carters b Nannes,5,3,1,0,166.66,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
7,MG Neser,c Hughes b Nannes,2,3,0,0,66.66,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
8,TP Ludeman †,not out,11,7,1,0,157.14,Adelaide Strikers,Sydney Thunder,654041,,72,BBL03,6
1,DP Hughes,lbw b Botha,0,2,0,0,0,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
2,RGL Carters †,c †Ludeman b Neser,6,9,0,0,66.66,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
3,CS Sandri,c Reardon b Neser,13,12,1,0,108.33,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
4,MEK Hussey (c),c Botha b Tait,85,56,5,4,151.78,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
5,EJG Morgan,c Ferguson b Neser,35,32,2,1,109.37,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
6,KR Patterson,run out (Ferguson),2,6,0,0,33.33,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
7,JS Floros,not out,0,2,0,0,0,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
8,CR Woakes,not out,0,1,0,0,0,Sydney Thunder,Adelaide Strikers,654041,,72,BBL03,6
1,LA Pomersbach, b Bollinger,4,5,1,0,80,Brisbane Heat,Hobart Hurricanes,654043,,73,BBL03,7
2,C Kieswetter †,c Laughlin b Shoaib Malik,50,24,6,3,208.33,Brisbane Heat,Hobart Hurricanes,654043,,73,BBL03,7
3,JA Burns,st †Paine b Doherty,69,45,6,2,153.33,Brisbane Heat,Hobart Hurricanes,654043,,73,BBL03,7
4,DT Christian,not out,70,40,3,4,175,Brisbane Heat,Hobart Hurricanes,654043,,73,BBL03,7
5,CA Lynn,not out,11,7,1,0,157.14,Brisbane Heat,Hobart Hurricanes,654043,,73,BBL03,7
1,Shoaib Malik,c McDermott b Christian,19,13,2,1,146.15,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
2,BR Dunk, b Vettori,67,33,5,4,203.03,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
3,TR Birt,c †Kieswetter b Cutting,27,20,3,1,135,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
4,OA Shah,c Lynn b Vettori,6,10,0,0,60,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
5,JW Wells,not out,36,20,5,0,180,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
6,EP Gulbis,c McDermott b Gannon,22,13,1,1,169.23,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
7,TD Paine (c) †,c Christian b McDermott,5,3,1,0,166.66,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
8,B Laughlin,c Hauritz b Gannon,4,4,0,0,100,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
9,BW Hilfenhaus,not out,10,2,1,1,500,Hobart Hurricanes,Brisbane Heat,654043,,73,BBL03,7
1,CL White (c), b Hazlewood,9,12,1,0,75,Melbourne Stars,Sydney Sixers,654045,24,74,BBL03,8
2,LJ Wright,st †Smith b O'Keefe,28,17,5,1,164.7,Melbourne Stars,Sydney Sixers,654045,17,74,BBL03,8
3,MS Wade †, b Bopara,36,25,2,2,144,Melbourne Stars,Sydney Sixers,654045,45,74,BBL03,8
4,BJ Hodge,c †Smith b Hazlewood,0,2,0,0,0,Melbourne Stars,Sydney Sixers,654045,2,74,BBL03,8
5,DJ Hussey,not out,50,41,5,0,121.95,Melbourne Stars,Sydney Sixers,654045,62,74,BBL03,8
6,GJ Maxwell,c Lalor b Hazlewood,37,18,3,2,205.55,Melbourne Stars,Sydney Sixers,654045,20,74,BBL03,8
7,JP Faulkner,not out,9,6,0,1,150,Melbourne Stars,Sydney Sixers,654045,11,74,BBL03,8
1,MJ Lumb, b Bird,29,19,4,1,152.63,Sydney Sixers,Melbourne Stars,654045,23,74,BBL03,8
2,NJ Maddinson,c †Wade b Hastings,18,19,3,0,94.73,Sydney Sixers,Melbourne Stars,654045,28,74,BBL03,8
3,MJ North,run out (†Wade/Maxwell),23,19,2,0,121.05,Sydney Sixers,Melbourne Stars,654045,27,74,BBL03,8
4,RS Bopara,c Faulkner b McKay,5,10,0,0,50,Sydney Sixers,Melbourne Stars,654045,17,74,BBL03,8
5,MC Henriques (c),c Hastings b Maxwell,17,15,1,0,113.33,Sydney Sixers,Melbourne Stars,654045,16,74,BBL03,8
6,JC Silk, b Maxwell,2,4,0,0,50,Sydney Sixers,Melbourne Stars,654045,5,74,BBL03,8
7,DLR Smith †,c Hodge b Maxwell,6,8,0,0,75,Sydney Sixers,Melbourne Stars,654045,12,74,BBL03,8
8,SNJ O'Keefe,c †Wade b Faulkner,9,11,0,0,81.81,Sydney Sixers,Melbourne Stars,654045,10,74,BBL03,8
9,B Lee,c Maxwell b Hussey,0,4,0,0,0,Sydney Sixers,Melbourne Stars,654045,8,74,BBL03,8
10,JK Lalor,not out,5,8,0,0,62.5,Sydney Sixers,Melbourne Stars,654045,8,74,BBL03,8
11,JR Hazlewood,not out,2,5,0,0,40,Sydney Sixers,Melbourne Stars,654045,3,74,BBL03,8
1,AJ Doolan,c Cutting b Christian,13,13,1,0,100,Melbourne Renegades,Brisbane Heat,654047,17,75,BBL03,9
2,AJ Finch (c),c McDermott b Christian,81,51,7,3,158.82,Melbourne Renegades,Brisbane Heat,654047,66,75,BBL03,9
3,JC Buttler,c Forrest b Vettori,61,36,3,4,169.44,Melbourne Renegades,Brisbane Heat,654047,40,75,BBL03,9
4,TLW Cooper,not out,15,11,1,0,136.36,Melbourne Renegades,Brisbane Heat,654047,22,75,BBL03,9
5,BJ Rohrer,not out,36,11,1,4,327.27,Melbourne Renegades,Brisbane Heat,654047,14,75,BBL03,9
1,LA Pomersbach, b O'Brien,21,30,3,0,70,Brisbane Heat,Melbourne Renegades,654047,35,75,BBL03,9
2,C Kieswetter †,c Cooper b Pattinson,10,6,0,1,166.66,Brisbane Heat,Melbourne Renegades,654047,15,75,BBL03,9
3,JA Burns,c Buttler b Rimmington,36,27,2,1,133.33,Brisbane Heat,Melbourne Renegades,654047,31,75,BBL03,9
4,DT Christian, b Rimmington,10,11,0,0,90.9,Brisbane Heat,Melbourne Renegades,654047,13,75,BBL03,9
5,CA Lynn, b Muralitharan,2,4,0,0,50,Brisbane Heat,Melbourne Renegades,654047,7,75,BBL03,9
6,BCJ Cutting,c Cooper b Pattinson,40,19,0,5,210.52,Brisbane Heat,Melbourne Renegades,654047,19,75,BBL03,9
7,PJ Forrest,c Rimmington b O'Brien,1,3,0,0,33.33,Brisbane Heat,Melbourne Renegades,654047,4,75,BBL03,9
8,DL Vettori (c),run out (Buttler/†Nevill),15,11,0,1,136.36,Brisbane Heat,Melbourne Renegades,654047,21,75,BBL03,9
9,NM Hauritz,run out (†Nevill),3,3,0,0,100,Brisbane Heat,Melbourne Renegades,654047,5,75,BBL03,9
10,CJ Gannon, b Pattinson,0,2,0,0,0,Brisbane Heat,Melbourne Renegades,654047,3,75,BBL03,9
11,AC McDermott,not out,0,0,0,0,-,Brisbane Heat,Melbourne Renegades,654047,2,75,BBL03,9
